id,torre,piso,numero_puerta,apartamento,tipo_apartamento,area_m2,precio_cop,estado,fecha_venta,fecha_entrega,forma_pago,porcentaje_credito,monto_credito_cop,monto_contado_cop
429,Torre 2,14,3,Torre 2 Apto 1403,3 Alcobas,102,913100000,Vendido,2026-06-23,2027-01-01,Crédito,41,374400000,538700000
430,Torre 2,12,4,Torre 2 Apto 1204,3 Alcobas,96,718000000,Vendido,2026-07-01,2027-07-25,Crédito,42,301600000,416400000
431,Torre 3,3,1,Torre 3 Apto 301,Penthouse,124,835200000,Vendido,2026-05-14,2028-03-12,Contado,0,0,835200000
432,Torre 2,14,1,Torre 2 Apto 1401,Apartaestudio,32,290400000,Disponible,,2026-11-30,,,,
433,Torre 4,16,2,Torre 4 Apto 1602,3 Alcobas,85,719600000,Vendido,2026-04-13,2026-11-04,Crédito,36,259100000,460500000
434,Torre 4,10,3,Torre 4 Apto 1003,Apartaestudio,35,271600000,Vendido,2025-09-08,2027-08-26,Crédito,31,84200000,187400000
435,Torre 2,12,4,Torre 2 Apto 1204,Apartaestudio,35,301500000,Vendido,2025-11-07,2027-02-14,Crédito,44,132700000,168800000
436,Torre 3,20,4,Torre 3 Apto 2004,Apartaestudio,31,258600000,Vendido,2025-10-22,2027-09-23,Contado,0,0,258600000
437,Torre 1,14,5,Torre 1 Apto 1405,1 Alcoba,44,369900000,Vendido,2025-12-19,2026-09-04,Crédito,42,155400000,214500000
438,Torre 1,5,5,Torre 1 Apto 505,1 Alcoba,48,343700000,Vendido,2025-06-29,2027-08-14,Crédito,59,202800000,140900000
439,Torre 1,5,2,Torre 1 Apto 502,Penthouse,165,1091200000,Vendido,2026-05-28,2027-11-03,Contado,0,0,1091200000
440,Torre 1,1,5,Torre 1 Apto 105,Apartaestudio,30,240100000,Vendido,2025-07-16,2027-07-16,Contado,0,0,240100000
441,Torre 2,21,6,Torre 2 Apto 2106,1 Alcoba,58,391600000,Disponible,,2028-06-20,,,,
442,Torre 4,19,1,Torre 4 Apto 1901,Penthouse,159,1364300000,Vendido,2025-07-03,2027-09-28,Crédito,39,532100000,832200000
443,Torre 4,3,1,Torre 4 Apto 301,2 Alcobas,76,534900000,Disponible,,2028-01-29,,,,
444,Torre 2,2,4,Torre 2 Apto 204,1 Alcoba,46,388700000,Vendido,2026-01-15,2028-04-01,Crédito,33,128300000,260400000
445,Torre 4,3,3,Torre 4 Apto 303,Apartaestudio,37,331400000,Vendido,2025-09-26,2027-04-08,Contado,0,0,331400000
446,Torre 4,3,1,Torre 4 Apto 301,2 Alcobas,73,507000000,Disponible,,2026-12-08,,,,
447,Torre 3,14,5,Torre 3 Apto 1405,Penthouse,163,1429500000,Vendido,2025-09-24,2028-04-04,Contado,0,0,1429500000
448,Torre 1,16,3,Torre 1 Apto 1603,3 Alcobas,86,666000000,Vendido,2026-07-10,2027-12-04,Contado,0,0,666000000
449,Torre 1,11,4,Torre 1 Apto 1104,Apartaestudio,41,334600000,Vendido,2026-04-28,2027-07-30,Crédito,40,133800000,200800000
450,Torre 1,22,2,Torre 1 Apto 2202,1 Alcoba,57,488600000,Disponible,,2026-12-28,,,,
451,Torre 2,11,6,Torre 2 Apto 1106,Apartaestudio,42,324200000,Vendido,2025-09-27,2028-01-22,Crédito,56,181600000,142600000
452,Torre 3,5,5,Torre 3 Apto 505,1 Alcoba,56,389600000,Vendido,2026-03-27,2028-01-03,Crédito,57,222100000,167500000
453,Torre 3,16,4,Torre 3 Apto 1604,Apartaestudio,36,318800000,Disponible,,2027-07-10,,,,
454,Torre 3,15,2,Torre 3 Apto 1502,2 Alcobas,66,508400000,Disponible,,2027-07-31,,,,
455,Torre 1,18,3,Torre 1 Apto 1803,1 Alcoba,55,497600000,Vendido,2026-02-08,2026-10-29,Contado,0,0,497600000
456,Torre 4,20,6,Torre 4 Apto 2006,Apartaestudio,30,228100000,Vendido,2025-10-01,2026-10-03,Crédito,50,114000000,114100000
457,Torre 1,6,3,Torre 1 Apto 603,1 Alcoba,47,446300000,Vendido,2025-12-08,2027-09-29,Contado,0,0,446300000
